"﻿n","meaning","cognate_id","cognate_sources","language","lexeme","lexeme_sources"
1,"I","62","1","Afghan","ZE","1"
2,"I","62","1","Albanian_C","U","1"
3,"I","62","1","Albanian_G","UN","1"
4,"I","62","1","Albanian_K","U","1"
5,"I","62","1","Albanian_Top","UNE","1"
6,"I","62","1","Armenian_List","YES","1"
7,"I","62","1","Armenian_Mod","jɛs","1, 106"
8,"I","62","1","Baluchi","MAN","1"
9,"I","62","1","Bengali","'ɑmi:","1, 114"
10,"I","62","1","Breton_List","ME","1"
11,"I","62","1","Breton_SE","ME","1"
12,"I","62","1","Breton_ST","me:","1, 125"
13,"I","62","1","Bulgarian","as","1, 110"
14,"I","62","1","Byelorussian","JA","1"
15,"I","62","1","Catalan","ʒɔ, jɔ","1, 89"
16,"I","62","1","Czech","jaː","1, 110"
17,"I","62","1","Czech_E","YA","1"
18,"I","62","1","Danish","jɑj","1, 97"
19,"I","62","1","Dutch_List","ɪk","1, 95"
20,"I","62","1","English_ST","aɪ ","1, 94"
21,"I","62","1","Faroese","e:","1"
22,"I","62","1","Flemish","IK","1"
23,"I","62","1","French","ʒə","1, 91"
24,"I","62","1","Frisian","ɪk, ɪkə","1, 124"
25,"I","62","1","German_ST","ɪç","1, 96"
26,"I","62","1","Greek_ML","EGO","1"
27,"I","62","1","Greek_Mod","e̞ˈɣo̞","1, 111"
28,"I","62","1","Gujarati","HU","1"
29,"I","62","1","Romani","ME","1"
30,"I","62","1","Hindi","mɛ̃","1, 114"
31,"I","62","1","Icelandic_ST","jɛɣ","1"
32,"I","62","1","Irish_A","ME","1"
33,"I","62","1","Italian","'io","1, 90"
34,"I","62","1","Ladin","EAU","1"
35,"I","62","1","Lahnda","MAE","1"
36,"I","62","1","Latvian","ES","1"
37,"I","62","1","Lithuanian_ST","ɐʃ","1, 115"
38,"I","62","1","Lusatian_L","JA","1"
39,"I","62","1","Lusatian_U","JA","1"
40,"I","62","1","Macedonian","jas","1, 45"
41,"I","62","1","Marathi","mi:","1, 98"
42,"I","62","1","Nepali_List","MA","1"
43,"I","62","1","Persian_List","mæn","1, 114"
44,"I","62","1","Polish","ja","1, 107"
45,"I","62","1","Portuguese_ST","eu","1, 108"
46,"I","62","1","Provencal","jew","1, 89"
47,"I","62","1","Riksmal","jæɪ","1"
48,"I","62","1","Romanian_List","jew, jo","1, 112"
49,"I","62","1","Russian","ja","1, 92, 56"
50,"I","62","1","Sardinian_C","DEU","1"
51,"I","62","1","Sardinian_L","EGO","1"
52,"I","62","1","Sardinian_N","JEO","1"
53,"I","62","1","Serbocroatian","JA","1"
54,"I","62","1","Singhalese","MAMA","1"
55,"I","62","1","Slovak","JA","1"
56,"I","62","1","Slovenian","JEST","1"
57,"I","62","1","Spanish","ʝo","1, 120"
58,"I","62","1","Swedish_List","ˈjɑːɡ, ˈjɑː","1"
59,"I","62","1","Swedish_Up","JAG","1"
60,"I","62","1","Swedish_VL","JAG, JA  JAG, JA","1"
61,"I","62","1","Tadzik","mæn","1, 114"
62,"I","62","1","Ukrainian","JA","1"
63,"I","62","1","Vlach","EO","1"
64,"I","62","1","Wakhi","WUZ","1"
65,"I","62","1","Walloon","DJI","1"
66,"I","62","1","Waziri","ZE","1"
67,"I","62","56","Scots_Gaelic","mi","61"
68,"I","62","56","Cornish","mi","31, 42"
69,"I","62","56","Urdu","mɛ̃","62"
70,"I","62","72","Hittite","ūk","28"
71,"I","62","73","Tocharian_A","näṣ","28"
72,"I","62","73","Tocharian_B","ñäś","28"
73,"I","62","56","Kurdish","min","64"
74,"I","62","72","Ancient_Greek","eɡɔː","32, 118"
75,"I","62","56","Assamese","mɒe","24, 9"
76,"I","62","56","Oriya","mũ","23"
77,"I","62","56","Bihari","həm","10, 7"
78,"I","62","56","Marwari","mɛ̃","12"
79,"I","62","56","Sindhi","mã","30, 6"
80,"I","62","72","Vedic_Sanskrit","ahám","28"
81,"I","62","72","Old_Church_Slavonic","azŭ","44, 28"
82,"I","62","56","Old_Prussian","as","28"
83,"I","62","56","Old_English","ic","28"
84,"I","62","56","Old_Norse","ek","4, 28"
85,"I","62","56","Luxembourgish","œx",""
86,"I","62","56","Gothic","ik","28"
87,"I","62","72","Latin","ego","17, 28, 27"
88,"I","62","56","Romansh","jau","89"
89,"I","62","56","Friulian","jo","88"
90,"I","62","56","Iron_Ossetic","ɐž","122"
91,"I","62","56","Digor_Ossetic","ɐz","122"
92,"I","62","56","Avestan","azəm","28"
93,"I","62","56","Old_High_German","ih","28"
94,"I","62","56","Old_Irish","mé","28"
95,"I","62","56","Classical_Armenian","es","28"
96,"I","62","56","Old_Persian","mām","28"
97,"I","1784","1","Kashmiri","BOH","1"
98,"I","2154","1","Welsh_C","FI","1"
99,"I","2154","1","Welsh_N","i, vi","1, 113"
106,"all","175","1","Danish","ɛl","1, 97"
107,"all","175","1","Dutch_List","'ɑləs","1, 95"
108,"all","175","1","English_ST","ɔ:l","1, 94"
109,"all","175","1","Faroese","ALLIR","1"
110,"all","175","1","Flemish","ALLE, ALLES","1"
111,"all","175","1","Frisian","ɔlə, ɔləs, ɔləgjɛr(ə)","1, 124"
112,"all","175","1","German_ST","'alə","1, 96"
113,"all","175","1","Icelandic_ST","ALLIR","1"
114,"all","175","1","Riksmal","alə","1"
115,"all","175","1","Swedish_List","ˈala","1"
116,"all","175","1","Swedish_Up","ALL","1"
117,"all","175","1","Swedish_VL","AL  AL","1"
118,"all","175","47","Gothic","allai","28"
119,"all","175","56","Luxembourgish","all",""
120,"all","175","47","Old_Norse","allir","4, 28"
121,"all","175","47","Old_English","ealle","28"
122,"all","175","56","Old_High_German","alle","28"
123,"all","351","1","Albanian_C","GITH","1"
124,"all","351","1","Albanian_G","GJITH","1"
125,"all","351","1","Albanian_Top","GITHE","1"
126,"all","351","105","Kurdish","giş","64"
127,"all","543","1","Albanian_K","TUTI","1"
128,"all","543","1","Catalan","tot","1, 89"
129,"all","543","1","French","tu","1, 91"
130,"all","543","1","Italian","'tutto","1, 90"
131,"all","543","1","Ladin","TUOT","1"
132,"all","543","1","Portuguese_ST","ˈtoðu","1, 108"
133,"all","543","1","Provencal","TOUT, TOUTO","1"
134,"all","543","1","Romanian_List","TOTI (M. PL.), TOATE (N. PL.)","1"
135,"all","543","1","Sardinian_C","TOTTU","1"
136,"all","543","1","Sardinian_L","TOTU","1"
137,"all","543","1","Sardinian_N","TOTTU","1"
138,"all","543","1","Spanish","'toðo","1, 120"
139,"all","543","1","Vlach","TUTI","1"
140,"all","543","1","Walloon","TOT","1"
141,"all","543","47","Latin","tōtus","27"
142,"all","543","56","Friulian","dut","88"
143,"all","543","56","Romansh","tut","89"
144,"all","566","1","Armenian_List","BOLOR","1"
145,"all","566","1","Armenian_Mod","boˈloɾ","1, 79, 106"
146,"all","682","1","Baluchi","KULL","1"
147,"all","682","1","Kashmiri","SORI","1"
148,"all","748","1","Bengali","SOB","1"
149,"all","748","1","Hindi","SEB, SARA","1"
150,"all","748","1","Lahnda","SEBU, SARE","1"
151,"all","748","1","Nepali_List","SAB, SABAI, SARBA","1"
152,"all","748","56","Sindhi","sabhu","6, 30"
153,"all","748","56","Oriya","sɔbɔ","24"
154,"all","748","56","Bihari","səb","29"
155,"all","748","56","Urdu","səb","62"
156,"all","748","48","Marwari","səi","12"
157,"all","748","69","Romani","SAVORA","1"
158,"all","748","48","Marathi","'səɾwə, 'səgɭə","1, 98"
159,"all","965","1","Breton_List","AN HOLL","1"
160,"all","965","1","Breton_SE","OL","1"
161,"all","965","1","Breton_ST","ɔl","1, 113"
162,"all","965","1","Greek_ML","HOLOS","1"
163,"all","965","1","Greek_Mod","ˈo̞lo̞s","1, 111"
164,"all","965","1","Irish_A","UILE, GO LEIR, AR FAD","1"
165,"all","965","56","Scots_Gaelic","uile","61"
166,"all","965","47","Tocharian_B","solme",""
