"id","ref"
1,"Dyen, Isidore Kruskal, Joseph and Black, Paul (1992). An Indoeuropean Classification, a Lexicostatistical Experiment. Transactions of the American Philosophical Society 82/5."
2,"Auty, R. (1960) Handbook of Old Church Slavonic. Part II. Text and Glossary. London: Athlone Press."
3,"Ball, M. (ed.) (1993) The Celtic Languages. London: Routledge."
4,"Bergsland, K.  and H. Vogt. 1962. 'On the validity of glottochronology' Current Anthropology 3: pp. 115-153."
5,"Borooah, A. (1887/1971) English-Sanskrit Dictionary. Assam: Publication board."
6,"Cardona G./Jain, D. (eds.) (2003) The Indo-Aryan Languages. London: Routledge."
7,"Davis, A.L. (1984) Basic Colloquial Maithili. A Maithili-Nepali-English Vocabulary with Some Structural Notes. Dehli: Motilal."
8,"Deschler, J.P. (1987) Kleines Wörterbuch der kirchenslavischen Sprache: Wortschatz der gebräuchlichsten liturgischen Texte mit deutscher übersetzung. Munich: Otto Sagner."
9,"Grierson, G.A. (ed.) (1903a/1968a) Linguistic Survey of India. Vol. V. Indo-Aryan Family. Eastern Group, pt.1. Specimen of the Bengali and Assamese Languages. Dehli: Motilal Banarsidass."
10,"Grierson, G.A. (ed.) (1903b/1968b) Linguistic Survey of India. Vol. V. Indo-Aryan Family. Eastern Group, pt.2. Specimen of the Bihari and Oriya Languages. Dehli: Motilal Banarsidass."
11,"Grierson, G.A. (ed.) (1908/1968) Linguistic Survey of India. Vol. IX. Indo-Aryan Family. Central Group, pt.2. Specimen of the Rajasthani and Gujarati. Dehli: Motilal Banarsidass."
12,"Gusain, L. (2004) Marwari. Munich: Lincom Europa (=Languages of the world/Materials 427)."
14,"Heinsius, J. (1893) Nederlandsch-Gotische Woordenlijst. Groningen: Noordhoff."
15,"Jago, F.W.P. (1887) An English-Cornish Dictionary. Compiled from the best sources. London: Simpkin, Marshall & Co."
16,"Jember, G.K. (1975) English-Old English, Old English-English Dictionary. Boulder, Colo.: Westview Press."
17,"Kessler, B (2001) The Significance of Word Lists. Stanford: CSLI Publications."
18,"Köbler, G. (1989) Gotisches Wörterbuch. Leiden: Brill."
20,"Krause, W. (1953) Handbuch des Gotischen. Muenchen: C.H.Beck."
21,"comment"
22,"Nandris, G. (1959) Handbook of Old Church Slavonic. Part I. Old Church Slavonic Grammar. London: Athlone Press."
23,"Neukom, L./Patnaik, M. (2003) A Grammar of Oriya. (=Arbeiten des Seminars fuer Allgemeine Sprachwissenschaft 17): University of Zurich."
24,"Pattanayak, D. P. (1966) A Controlled Historical Reconstruction of Oriya, Assamese, Bengali and Hindi. The Hague: Mouton & Co."
25,"Priese, O. (1933) Deutsch-gotisches Wörterbuch. Halle: Niemeyer."
26,"Felix Rau: personal communication"
27,"Rea, J. A. (1973) 'The Romance data of the pilot studies for glottochronology'. In Sebeok, T. (ed.) Diachronic, Areal and Typological Linguistics, Current Trends in Linguistics 11: pp. 355-367."
28,"Ringe, D., Warnow, T., Taylor, A. (2002) 'Indo-European and Computational Cladistics.' Transaction of the Philological Society Vol. 100:1: 59-129.  · these lists are cited in http://www.cs.rice.edu/~nakhleh/CPHL/ie-wordlist-07.pdf"
29,"Trail, R. (1973) Patterns in Clause, Sentence and Discourse in Selected Languages of India and Nepal. SIL. Accessible through http://www.sil.org/acpub/repository/26473.pdf"
30,"Trumpp, E. (1986) Grammar of the Sindhi Language. Dehli: Jetley."
31,"Wmffre, I. (1998) Late Cornish. Munich: Lincom Europa (=Languages of the world/Materials 135)."
32,"Woodhouse, M.A. (1910) English-Greek Dictionary - A Vocabulary of the Attic Language. London: George Routledge & Sons."
33,"http://donelaitis.vdu.lt/prussian/databan.htm"
34,"http://www.freelang.net/online/cornish.php?lg=gb"
35,"http://www.freewebs.com/hanvant/rajasthani_dictionary.htm"
36,"http://www.jatland.com/home/Glossary_of_Rajasthani_Language"
37,"http://dsal.uchicago.edu/dictionaries/macalister/"
38,"http://dsal.uchicago.edu/dictionaries/mewaram/"
39,"http://www.sanskrit-lexicon.uni-koeln.de/mwquery/"
40,"http://socrates.berkeley.edu/~ancgreek/ancient_greek_start.html"
41,"http://spokensanskrit.de/"
42,"http://en.wiktionary.org/wiki/Appendix:Celtic_Swadesh_lists"
43,"http://en.wiktionary.org/wiki/Appendix:Latvian_Swadesh_list"
44,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Slavic_languages"
45,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Slavic_languages"
46,"http://www.xobdo.net/dic09/dic.php"
47,"Buck, Carl Darling. 1949/1988. A Dictionary of Selected Synonyms in the Prinicipal Indo-European Languages. Chicago: University of Chicago Press."
48,"Ludewig, Julia (University of Freiburg)"
49,"Pokorny, Julius (1994) Indogermanisches etymologisches Woerterbuch. Tuebingen: Francke."
50,"Matasovic, Ranko (2009) Etymological Dictionary of Proto-Celtic. Leiden: Brill."
51,"Kluge, Friedrich (1975) Etymologisches Woerterbuch der deutschen Sprache. Berlin: de Gruyter."
52,"Etymology online"
54,"Vaan, M. de (2008) Etymological Dictionary of Latin and the other Italic Languages. Leiden: Brill."
55,"http://www.cnrtl.fr/etymologie/"
56,"Dunn, Michael (Max Planck Institute for Psycholinguistics)"
57,"Oxford English Dictionary on Etymological Principles"
58,"http://en.wiktionary.org/wiki/Appendix:Proto-Indo-European_Swadesh_list"
59,"Pughe, W. Owen. 1832. A dictionary of the Welsh language. [Preceded by] A Welsh grammar. Denbigh: Thomas Gee."
61,"http://en.wiktionary.org/wiki/Appendix:Scottish_Gaelic_Swadesh_list"
62,"IAL Trust <http://ialtrust.com/swadeshlanguagelist>"
64,"http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists"
65,"Gvozdanović, Jadranka (ed.). 1992. Indo-European Numerals. Trends in Linguistics Studies and Monographs 57. Mouton de Gruyter"
66,"Beekes, Robert. 2010. Etymological Dictionary of Ancient Greek. Brill."
67,"Klein , E. (1986) 'A Comprehensive Etymological Dictionary of the English Language'. Amsterdam: Elsevier."
68,"Weeks, David Michael. 1985. Hittite Vocabulary: An Anatolian Appenix to Buck's 'Dictionary of Selected Synonyms in the prinicipal Indo-European langauges'. PhD, Los Angeles: University of California, Los Angeles."
69,"Turner, R. L. 1931. A Comparative and Etymological Dictionary of the Nepali. London: Kegan Paul, Trench, Trubner & Co."
70,"Walde, A. (1930) 'Vergleichendes Woerterbuch der Indogermanischen Sprachen'. de Gruyter."
71,"Donelaitis, http://donelaitis.vdu.lt/prussian/Engl.pdf"
72,"Beekes, Robert. 1995. Comparative Indo-European Linguistics: An Introduction. Amsterdam: John Benjamins."
73,"Jasanoff, Jay H. 1989. Language and Gender in the Tarim Basin: The Tocharian 1 sg. Pronoun. Tocharian and Indo-European Studies 3: 125-148."
74,"Seebold, Elmar. 1989. Etymologisches Wörterbuch der deutschen Sprache. Walter de Gruyter."
75,"Mallory, J.P. and D.Q. Adams. 2006. The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World. Oxford"
76,"Windekens, A. J. van. 1976. Le Tokharien confronté les autres langues indo-européennes. Volume 1. La phonétique et le vocabulaire. Louvain: Centre International De Dialectologie Générale."
77,"Diez, Friedrich. 1864. An Etymological Dictionary of the Romance Languages. Truebner."
78,"Monier-Williams, Monier. 1899. A Sanskrit-English Dictionary. Oxford: Clarendon Press"
79,"Martirosyan, Hrach. 2010. Etymological Dictionary of the Armenian Inherited Lexicon. Brill."
80,"Kloekhorst, Alwin. 2008. Etymological Dictionary on the Hittite Inherited Lexicon. Leiden: Brill."
81,"Derksen, Rick. 2008. Etymological Dictionary of the Slavic Inherited Lexicon. Leiden: Brill."
82,"Boutkan, Dirk/ Siebinga, Sjoerd M. 2005. Old Frisian Etymological Dictionary. Leiden: Brill."
83,"Cheung, Johnny. 2007. Etymological Dictionary of the Iranian Verb. Leiden: Brill."
85,"Cioranescu, Alexandru. 2002. Dictionarul etimologic al limbii romane. Bucarest: Saeculum."
